Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
Soybean oil,Fats and oils/Oils,per 100ml food volume,810,90,13.2,19.9,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0.9,0,0,0,0,0,0,0,0,0
Soybean sprouts,Vegetables/Sprouts and shoots,per 100g edible portion,55,1,0.1,0.1,0.7,0,4.7,4.6,0,2.4,5.5,0.1,0,85.6,7,3,0,42,42,0.08,0.16,0.09,0,1.5,160,0.49,9.6,0,0.1,240,30,47,32,19,75,0.9,2,1,n.d.
"Soybean, cooked (without addition of fat and salt)","Cereal products, pulses and potatoes/Pulses",per 100g edible portion,157,7.3,1,1.5,4.3,0,3.3,2.6,0.2,8.8,15,0,0,66.9,25,13,0,152,152,0.27,0.14,0.28,0,0.7,50,0.37,8.2,0,0.23,540,2,3.4,72,75,200,2.2,2.5,1.5,n.d.
"Soybean, dried","Cereal products, pulses and potatoes/Pulses",per 100g edible portion,399,18.3,2.4,3.7,10.7,0,8.7,6.8,0.6,22,38.2,0,0,8.4,63,32,0,380,380,1.03,0.46,1,0,2.7,250,1.7,34,0,0.64,1800,4.7,7,200,220,550,6.6,6.3,4.2,n.d.
"Sparkling wine, champagne",Alcoholic beverages/Wine,per 100ml food volume,71,0,0,0,0,0,1.5,1.5,tr.,0,0.2,0,9.1,89,0,0,0,0,0,tr.,tr.,0.02,0,0.1,tr.,0.03,0,0,0,48,4,7,10,6,7,0.8,10,0,n.d.
Spätzle flour,"Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,351,1.3,0.2,0.1,0.5,0,71.3,0.9,70.3,3.3,11.9,0,0,13.2,1,1,0,7,7,0.09,0.05,0.07,0,1.79,47.6,0.35,0,0,0.19,160,1.3,80,15,24,94,0.8,4.2,1.8,n.d.
"Spelt, fine flour (type 550)","Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,348,1.5,0.3,0.3,0.7,0,69,0.9,68.1,2.8,13.3,0,0,13.1,0,0,0,0,0,0.27,0.04,0.07,0,0.32,16,0.37,0,0,0.54,100,6.8,45,22,23,110,1,0.9,0.9,2.3
"Spelt, flour ""Ruch"" (type 1100)","Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,348,2.2,0.3,0.5,1.2,n.d.,65,1.4,n.d.,5.7,14.3,0.1,0,12.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,210,27,n.d.,28,64,240,2.4,n.d.,2.8,n.d.
"Spelt, wholemeal flour (type 1900)","Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,346,2.7,0.4,0.7,1.5,n.d.,60,1.2,n.d.,9.4,15.6,0,0,12.4,n.d.,n.d.,n.d.,n.d.,n.d.,0.46,0.09,0.2,n.d.,n.d.,n.d.,0.68,n.d.,n.d.,0.98,390,13,n.d.,35,140,450,3.6,n.d.,4.5,6.8
"Spinach quiche, baked (with cake dough)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,174,10.8,5.7,2.9,0.9,43,12.5,1,10.7,1.7,5.8,1.1,0,69.3,378,230,82,1773,1773,0.09,0.16,0.14,0.1,0.59,28.5,0.33,14,0.3,1.16,370,440,730,85,54,80,1.3,11,0.8,n.d.
"Spinach quiche, baked (with puff pastry)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,171,11.6,6.2,3.1,0.9,46,10.4,1,8.6,1.6,5.5,1.1,0,71,386,238,90,1776,1776,0.09,0.16,0.13,0.1,0.58,28.2,0.32,14,0.3,1.16,360,450,730,85,54,77,1.3,11,0.8,n.d.
"Spinach, raw",Vegetables/Fresh vegetables,per 100g edible portion,25,0.6,0.1,0,0.4,0,1.3,0.1,0.1,1.9,2.6,0.2,0,91.1,568,284,0,3406,3304,0.07,0.2,0.21,0,0.62,94.4,0.23,51,0,1.3,590,69,100,100,89,46,1.8,12,0.6,0.4
"Spinach, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,31,0.8,0.1,0,0.4,0,1.6,0.1,0.1,2.3,3.3,0.2,0,92,672,336,0,4033,3913,0.08,0.24,0.24,0,0.65,74.5,0.26,36.9,0,1.71,660,77,120,130,110,58,1.9,15,0.7,0.6
"Spirits, 40 vol% (e.g. Vodka, gin)",Alcoholic beverages/Spirits,per 100ml food volume,222,0,0,0,0,0,0,0,0,0,0,0,31.7,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,2.9,0,0,0,3.8,0,0,0,n.d.
"Spirits, grain, 40% vol (e.g. whisky)",Alcoholic beverages/Spirits,per 100ml food volume,234,0,0,0,0,0,0.1,0.1,0,0,0,0,33.4,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1,0,1.9,1,4.8,0,tr.,0,n.d.
"Spirits, Kirsch, Cherry Schnaps",Alcoholic beverages/Spirits,per 100ml food volume,233,0,0,0,0,0,0,0,0,0,0,0,33.3,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,tr.,0,1.9,0,0,0,0,0,n.d.
"Spirits, sugar cane (e.g. rum)",Alcoholic beverages/Spirits,per 100ml food volume,222,0,0,0,0,0,0,0,0,0,0,0,31.7,63.2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1.9,1,0,0,0,4.8,0.1,0,0.1,n.d.
"Spirits, wine (e.g. cognac, brandy)",Alcoholic beverages/Spirits,per 100ml food volume,228,0,0,0,0,0,1.9,1.9,0,0,0,0,31.4,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,2.9,0,1,0,0,0,0,n.d.
"Spring roll, deep fried",Prepared dishes/Asian dishes,per 100g edible portion,224,11.2,2.9,5.1,2.7,28,23.1,3,17.2,2.5,6.5,1.5,0,54.8,32,17,<2,180,180,0.11,0.06,0.12,0.22,1.4,23.1,0.25,<0.5,<0.5,0.82,160,610,810,25,16,67,0.9,1,0.6,4.4
"Squash slices, breaded, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,144,5.8,0.7,3.6,0.8,47,16.7,4.1,12.6,2.7,4.7,0.2,0,70.7,378,196,14,2182,2182,0.08,0.09,0.09,0.17,0.47,17.8,0.68,9,0.4,0.56,370,93,210,50,12,66,0.6,5.8,0.4,n.d.
"Squid, raw","Fish/Seafood, crustaceans and shellfish",per 100g edible portion,83,1.1,0.2,0.1,0.3,150,2.3,tr.,0,0,16,0.4,0,79.4,75,75,75,0,0,0.02,0.2,0.06,1.3,2.2,13,tr.,5,tr.,0.77,270,160,tr.,14,40,200,0.6,20,1.1,n.d.
St. Gall Schüblig sausage,Sausages and cold meats/Boiled sausage products,per 100g edible portion,237,20.7,7.6,9.8,2.2,42,0.2,0.2,0,0,12.6,2.1,0,66.5,4,4,4,3,3,0.09,0.11,0.05,1.19,2.02,1,0.17,52.2,0,0.32,76,850,1280,4.9,8.4,140,0.9,0.4,1.7,n.d.
St. Paulin cheese,Milk and dairy products/Hard cheese,per 100g edible portion,294,23,13.8,5.4,1.1,69,0,0,0,0,21.8,2,0,55,275,263,250,150,150,0.04,0.32,0.06,2,0.1,18,0.8,tr.,0.5,0.69,80,800,1100,700,35,500,0.4,35,4,n.d.
"Strawberry, fresh",Fruit/Fresh fruit,per 100g edible portion,39,0.5,tr.,tr.,tr.,0,6,5.6,tr.,3.8,0.6,0,0,90.3,1,0,0,3,3,0.02,0.02,0.04,0,0.37,40.7,0.12,55.8,0,0.3,140,1,62,18,12,23,0.2,1,0.1,<0.5
"Strudel dough, raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,234,2.5,0.3,1.4,0.6,0,44.3,0.2,43.6,2,7.6,1.9,0,44.3,0,0,0,0,0,0.13,0.02,0.1,0,0.2,10.2,0.31,0,0,0.81,110,750,1150,9.5,22,77,1,0.9,0.7,1.5
"Sugar loaf chicory, raw",Vegetables/Fresh vegetables,per 100g edible portion,16,0.2,0,0,0.1,0,1.5,1.5,0,1.6,1.2,0,0,94.8,35,17,0,207,207,0.06,0.08,0.05,0,0.31,16.2,0.17,6.8,0,0.5,230,10,55,35,10,30,1,3.3,0.2,n.d.
"Sugar pea, raw",Vegetables/Fresh vegetables,per 100g edible portion,68,0.2,0,0,0.1,0,10,5,5,5,4,0,0,79.6,43,22,0,259,259,0.16,0.15,0.13,0,2.7,21.6,0.41,37.4,0,0.5,300,4,30,20,30,80,2,4,0.3,n.d.
"Sugar pea, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,73,0.2,0,0,0.1,0,10.8,5.4,5.4,5.3,4.3,0,0,79.3,44,22,0,265,265,0.15,0.15,0.13,0,2.45,14.7,0.4,31.8,0,0.57,290,3.9,32,22,31,86,1.8,4.3,0.3,n.d.
"Sugar, brown",Sweets/Sugar and sweeteners,per 100g edible portion,390,0,0,0,0,0,97.6,97.6,0,0,0,0.1,0,1.1,0,0,0,0,0,0,0,0.02,0,0,0,0.1,0,0,0,320,40,40,85,22,24,1.9,0,0.1,1
"Sugar, white",Sweets/Sugar and sweeteners,per 100g edible portion,400,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.5,1,0,0,0.1,0,0,0
Sunflower oil,Fats and oils/Oils,per 100ml food volume,810,90,10,24.8,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.26,0.9,0.9,0.9,0.9,0,0,0.1,0,0,0
"Sunflower oil HO (high oleic), refined",Fats and oils/Oils,per 100ml food volume,810,90,8.9,75.3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
Sunflower seeds,"Nuts, seeds and oleaginous fruit",per 100g edible portion,621,54.5,5.4,19.8,23.5,0,3.6,3.4,0.2,8,25.1,0,0,4.8,5,3,0,30,30,1.48,0.36,1.34,0,8.3,227,1.13,1,0,34.5,750,3.6,50,86,330,670,5,4,5.8,9.9
Surimi,Fish/Fish products,per 100g edible portion,125,4.9,0.5,2.4,1.4,11,11.8,2.1,9.7,<0.3,8.3,1.6,0,72.5,28,28,28,0,0,0.02,0.02,0.03,0.71,0.22,2,0.07,0,<0.5,1.1,52,630,1010,19,12,44,0.4,10,0.2,9.2
"Sweet corn (canned), heated (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,103,1.2,0.2,0.3,0.6,0,18.6,7,11.5,2.3,3.1,0.7,0,74.8,19,10,0,116,116,0.03,0.08,0.08,0,1.19,21.1,0.45,0.8,0,0.35,180,270,0,4,21,70,0.5,0,0.5,n.d.
Sweet corn canned,Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,100,1.2,0.2,0.3,0.6,0,18.2,6.9,11.3,2.3,3,0.8,0,72.8,20,10,0,117,117,0.04,0.08,0.09,0,1.4,33,0.5,1,0,0.34,200,300,tr.,4,22,69,0.6,tr.,0.5,n.d.
"Sweet corn cob, pickled",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,119,1.4,0.2,0.4,0.6,0,21,2,19,4.2,3.4,0,0,69.3,20,10,0,117,117,0.22,0.07,0.1,0,1.7,50,0.7,7,0,0.7,250,17,tr.,3,33,100,0.6,tr.,tr.,n.d.
"Sweet corn, raw",Vegetables/Fresh vegetables,per 100g edible portion,93,1.2,0.2,0.3,0.5,0,15.7,3.4,12.3,2.8,3.3,0,0,74.7,19,9,0,113,47,0.15,0.12,0.22,0,1.7,43,0.89,12,0,0.1,290,0.3,7.3,2.2,27,83,0.4,3.3,0.6,n.d.
"Sweet corn, steamed",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,100,1.3,0.2,0.3,0.5,0,16.9,3.7,13.3,3,3.5,0,0,75.2,19,10,0,115,48,0.14,0.12,0.21,0,1.55,29.3,0.86,10.2,0,0.11,280,0.3,7.9,2.4,28,90,0.4,3.6,0.6,n.d.
"Sweet potato, raw","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,81,0.1,0,0,0,0,17.1,4.2,12.7,3,1.6,0.1,0,77.3,745,373,0,4470,4470,0.08,0.06,0.21,0,0.56,11,0.8,19.3,0,0.26,420,55,46,41,26,52,0.6,2.4,0.3,n.d.
"Sweet potato, steamed (without addition of salt)","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,81,0.1,0,0,0,0,17.1,4.2,12.7,3,1.6,0.1,0,78.3,684,342,0,4105,4105,0.07,0.06,0.18,0,0.51,6.7,0.69,15.8,0,0.27,370,51,45,40,25,51,0.5,2.3,0.3,n.d.
Sweet whey,Milk and dairy products/Milk and yoghurt beverages,per 100ml food volume,24,0.2,0.1,0.1,0,1,4.7,4.7,0,0,0.8,0.1,0,93.6,3,3,3,0,0,0.04,0.14,0.04,0.2,0.2,1,0.4,1,0,0,130,45,67,68,8,40,0.1,8,0.1,n.d.
"Swiss chard, raw",Vegetables/Fresh vegetables,per 100g edible portion,23,0.2,tr.,tr.,tr.,0,2.7,0.5,2.2,1,2.1,0.4,0,92.4,236,118,0,1415,1415,0.07,0.13,0.08,0,0.4,17.8,0.18,21.3,0,0.25,380,170,100,80,81,43,2.3,1,0.3,n.d.
"Swiss chard, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,29,0.3,0,0,0,0,3.4,0.6,2.8,1.2,2.6,0.5,0,92.5,279,140,0,1675,1675,0.07,0.15,0.09,0,0.42,14,0.2,15.4,0,0.33,420,190,130,100,96,54,2.4,1.3,0.4,n.d.
Syrup undiluted,Non-alcoholic beverages/Cordial,per 100ml food volume,371,0.2,0,0,0.1,0,91.8,91.4,0.3,0.9,0.1,0,0,36.6,0,0,0,0,0,0.01,0.01,0.02,tr.,0.09,2.6,0.04,5.1,tr.,0.21,64,1.3,2.6,3.9,2.6,5.2,0.5,0.9,0.1,n.d.
"Syrup, ready to drink (dilution 1:5.5)",Non-alcoholic beverages/Cordial;Non-alcoholic beverages/Soft drinks,per 100ml food volume,55,0,0,0,0,0,13.5,13.4,0,0.1,0,0,0,86.3,0,0,0,0,0,0,0,0,0,0.01,0.4,0.01,0.8,0,0.03,9.4,1,1.2,6.2,1.2,0.8,0.1,0.1,0,n.d.
Table salt iodized,"Various/Salt, spices and flavours",per 100g edible portion,0,0,0,0,0,0,0,0,0,0,0,98,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39200,59800,10,1,8,0.3,2500,0.1,0.1
Table salt iodized and fluoridized,"Various/Salt, spices and flavours",per 100g edible portion,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39900,59900,10,1,8,0.3,2500,0.1,0.1
Table salt without iodine and fluoride,"Various/Salt, spices and flavours",per 100g edible portion,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39900,59900,10,1,8,0.3,20,0.1,0.1
"Taboulé, prepared (with Bulgur)",Prepared dishes/Salads,per 100g edible portion,111,5.5,0.7,3.9,0.5,0,11.5,1.1,10.2,2.8,2.3,0.4,0,78,31,15,0,184,184,0.07,0.03,0.06,0,0.95,21.3,0.25,9.1,0,1.8,150,150,250,19,22,71,0.8,2.1,0.5,n.d.
"Taboulé, prepared (with Couscous)",Prepared dishes/Salads,per 100g edible portion,130,6.1,0.7,4.4,0.5,0,15.3,1.3,13.9,1.2,2.8,0.4,0,74.8,34,17,0,206,206,0.03,0.03,0.04,0,0.56,19.3,0.13,10.3,0,1.85,120,170,290,17,11,32,0.4,2.1,0.5,n.d.
"Tartare sauce, with rapeseed mayonnaise, home-made ",Various/Sauces,per 100g edible portion,384,40.1,3.6,23.2,10.9,143,1.8,1.5,0.1,0.6,3.7,0.4,0,53.8,77,62,48,177,177,0.05,0.09,0.07,0.4,0.2,27.4,0.67,9.3,0.8,11.58,120,140,150,25,6.8,77,0.8,12,0.5,n.d.
"Tea, no sugar added",Non-alcoholic beverages/Tea,per 100ml food volume,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0.1,5,0,0,0,0,19,0,1,0,1,1,0,1,0,n.d.
Terrine de campagne,Sausages and cold meats/Cooked sausage products,per 100g edible portion,298,26.5,9.7,12,3,119,0.9,0.7,0.2,0.1,13.6,2.2,0.3,58.7,1932,1931,1931,4,4,0.25,0.75,0.2,6.33,4.13,20.9,1.41,3.9,0,0.46,130,870,1310,17,14,110,4.2,4.8,2,n.d.
"Terrine, game meat",Meat and offal/Game,per 100g edible portion,242,18.7,7.4,8,2,107,1.6,1.4,0.1,0.1,16.4,2.2,0.3,62.9,1469,1468,1467,10,10,0.15,0.61,0.2,4.91,3.63,16.1,1.24,44.8,0.1,0.41,160,870,1300,14,14,150,4,3.5,2.4,n.d.
Tête de Moine,Milk and dairy products/Hard cheese,per 100g edible portion,417,35.5,21.3,8.3,1.6,107,0,0,0,0,24.2,2.3,0,35.2,490,480,470,119,119,0.01,0.27,0.27,1.6,0.08,24,0.32,tr.,0.7,0.59,84,930,1360,700,27,510,0.1,28,3.9,n.d.
"Thin pancakes with bacon, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,253,16.3,7.4,5.6,1.4,137,15,2.4,12.5,0.6,11.3,0.9,0,57,82,80,79,21,21,0.21,0.21,0.11,0.52,1.01,18.7,0.95,5.8,1,0.59,210,370,560,74,18,160,0.9,16,1.2,10
"Thin pancakes with camembert cheese, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,247,15.5,8.2,4,1.2,142,14.9,2.3,12.5,0.6,11.9,0.8,0,57.2,132,127,121,63,63,0.07,0.23,0.1,0.84,0.36,35.5,0.99,0.5,1,0.63,170,320,450,150,19,180,0.8,21,1.2,n.d.
"Thin pancakes with ham, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,193,9.7,4.7,2.8,0.9,124,13.2,2.2,10.9,0.5,12.9,1,0,63.9,72,70,69,18,18,0.33,0.22,0.18,0.42,2.16,16.4,0.94,19.7,0.8,0.52,270,410,560,68,20,210,0.9,15,1.3,9.4
"Thin pancakes with mushrooms, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,139,9,4.8,2.2,0.7,68,7.9,1.7,5.7,1.6,5.9,0.4,0,76.5,80,76,71,51,51,0.09,0.28,0.09,0.21,2.3,19.3,1.53,2.3,1.7,0.32,330,140,260,45,15,130,1.1,20,0.7,n.d.
"Thin pancakes with Nutella, prepared",Prepared dishes/Other sweet dishes,per 100g edible portion,378,22.2,9.3,9,2.3,88,35.8,26.4,8.9,1.7,7.9,0.3,0,32.7,57,55,54,16,16,0.09,0.22,0.09,0.39,0.26,18.8,0.82,0.5,0.6,2.1,250,110,170,110,33,160,1.1,13,1,n.d.
"Thin pancakes with sugar and cinnamon, prepared",Prepared dishes/Other sweet dishes,per 100g edible portion,254,11.5,5.7,3.1,1.1,141,29,14.9,14,0.7,8.3,0.3,0,50.7,90,88,87,23,23,0.08,0.2,0.07,0.5,0.14,20.3,0.92,0.5,1,0.6,170,140,220,83,16,140,1,18,0.8,8.8
"Thin pancakes with vegetable filling, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,165,9.3,4,3.1,0.9,95,13.7,4,9.5,1.6,6,0.2,0,69.5,201,129,58,855,855,0.08,0.15,0.15,0.34,0.36,32.8,0.7,28.3,0.7,1.06,210,97,160,63,16,100,0.8,14,0.7,n.d.
"Thin pancakes, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,234,13.2,6.6,3.6,1.2,161,19,2.9,15.9,0.7,9.4,0.4,0,57.8,103,101,99,27,27,0.09,0.23,0.08,0.57,0.15,23.1,1.05,0.6,1.2,0.68,190,160,250,92,18,160,1,21,1,10
"Thyme, fresh",Vegetables/Herbs,per 100g edible portion,52,1.2,0.6,0.1,0.3,0,7.3,7.2,0.1,3,1.5,0,0,85,475,238,0,2851,2851,0.08,0.07,0.15,0,0.8,19.5,0,0,0,0.8,130,9,32,310,36,32,20,1,1,n.d.
"Tilsiter, pasteurized milk, at least 45% fidm",Milk and dairy products/Hard cheese,per 100g edible portion,351,28,16.8,6.6,1.3,84,0,0,0,0,24.1,1.4,0,42,299,287,274,150,150,0.05,0.27,0.06,1.64,0.21,30,0.41,tr.,0.5,0.76,60,550,850,840,29,510,0.1,7.3,3.7,n.d.
"Tilsiter, raw milk, at least 45% fidm",Milk and dairy products/Hard cheese,per 100g edible portion,376,30.2,18.1,7.1,1.4,91,0,0,0,0,25.6,1.7,0,39.6,299,287,274,150,150,0.05,0.38,0.06,1.33,0.23,33,0.44,tr.,0.6,0.84,98,690,1060,900,24,540,0.3,7.9,4.2,n.d.
"Tofu ferm, plain (produced with calcium salt)",Meat substitutes,per 100g edible portion,148,8.5,1.4,1.9,4.8,0,2.9,0.6,tr.,tr.,14.7,0,0,74.9,1,0,0,5,tr.,0.06,0.03,0.04,0,0.28,25.1,0.11,tr.,0,1.2,170,2,75,220,49,180,2,6,1.2,2.2
"Tofu, ferm, plain (produced with nigari)",Meat substitutes,per 100g edible portion,148,8.5,1.4,1.9,4.8,0,2.9,0.6,tr.,tr.,14.7,0.1,0,75.2,1,0,0,5,tr.,0.03,0.01,0.05,0,0.28,25.1,0.07,tr.,0,1.2,140,51,75,72,130,210,2,6,1.4,1.2
"Tofu, firm, plain (average)",Meat substitutes,per 100g edible portion,148,8.5,1.4,1.9,4.8,0,2.9,0.6,tr.,tr.,14.7,0.1,0,75.1,1,0,0,5,tr.,0.06,0.03,0.04,0,0.28,25.1,0.11,tr.,0,1.2,150,35,75,120,100,200,2,6,1.3,1.5
"Tofu, silken (soft), plain",Meat substitutes,per 100g edible portion,53,2.9,0.5,0.7,1.6,0,1.5,1.1,tr.,0.6,5,0,0,87.6,1,0,0,5,tr.,0.08,0.02,0.04,0,0.4,24.2,0.17,tr.,0,0.44,170,17,110,49,58,98,1,0.7,0.6,1.1
"Tofu, smoked (average)",Meat substitutes,per 100g edible portion,164,9.5,1.5,2,5.6,n.d.,2.9,0.9,<0.4,<0.5,16.4,1,0,71.5,1,0,0,5,<5,0.08,0.05,0.05,0.02,0.41,16.4,0.14,<0.5,<0.3,1.32,190,390,570,130,110,230,2.3,n.d.,1.5,1.4
"Tofu, smoked (produced with calcium salt)",Meat substitutes,per 100g edible portion,164,9.5,1.5,2,5.6,n.d.,2.9,0.9,<0.4,<0.5,16.4,1.4,0,70.2,1,0,0,5,<5,0.08,0.05,0.05,0.02,0.41,16.4,0.14,<0.5,<0.3,1.32,210,550,570,230,65,230,2.5,n.d.,1.6,2.2
"Tofu, smoked (produced with nigari)",Meat substitutes,per 100g edible portion,164,9.5,1.5,2,5.6,n.d.,2.9,0.9,<0.4,<0.5,16.4,0.7,0,72.4,1,0,0,5,<5,0.08,0.05,0.05,0.02,0.41,16.4,0.14,<0.5,<0.3,1.32,170,280,570,66,130,230,2.2,n.d.,1.4,0.8
Tomato juice,Non-alcoholic beverages/Fruit and vegetable juices;Vegetables/Vegetable juices,per 100ml food volume,16,0.1,0.1,0,0,0,3,2.1,0.1,0.1,0.8,0.5,0,95.3,66,33,0,397,397,0.03,0.03,0.05,0,0.4,16,0.22,9.9,0,0.82,220,220,400,14,13,26,0.5,2,0.2,n.d.
Tomato paste,Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,77,0.2,0,0,0.1,0,12.9,12.4,0.4,2.8,4.5,0.6,0,76.7,76,38,0,456,456,0.22,0.12,0.44,0,3.5,54,1,38,0,5.37,1150,240,490,48,48,94,1.6,4,0.7,n.d.
"Tomato quiche, baked (with cake dough)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,158,10.1,5.6,2.5,0.7,61,12.3,2.5,9.6,1.1,3.9,0.4,0,72.7,141,117,93,286,286,0.06,0.07,0.08,0.16,0.37,12.2,0.32,10,0.4,0.61,190,140,230,33,12,65,0.6,6,0.4,n.d.
"Tomato quiche, baked (with puff pastry)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,155,11,6.2,2.7,0.8,63,10,2.5,7.3,1,3.5,0.4,0,74.6,150,125,101,289,289,0.05,0.07,0.07,0.16,0.36,11.9,0.31,10,0.4,0.61,180,150,240,33,11,61,0.5,6,0.4,n.d.
Tomato sauce,Various/Sauces,per 100g edible portion,69,2.1,0.5,0.9,0.6,0,9.7,4.1,5.5,1.9,1.8,1.4,0,82.5,121,62,3,709,709,0.06,0.05,0,0,1,12,0.3,11,0.1,0.5,360,540,tr.,23,17,33,1.4,1.6,0.4,n.d.
Tomato soup,Prepared dishes/Stews and soups,per 100g edible portion,42,1.1,<0.5,0.4,0,<1,6.6,3.5,3.1,0.7,1,1,0,89,25,12,0,147,147,0.03,0.02,0.06,0,0.6,6,0.2,7,0,0.08,140,410,330,8,8,16,0.4,3,0.2,n.d.
"Tomato, dried",Vegetables/Dried vegetables,per 100g edible portion,210,0.5,0.1,0.1,0.3,0,29.2,13.7,0.9,21.7,11.3,5.3,0,26.3,223,112,0,1340,1340,0.2,0.49,0.33,0,9.05,68,1.21,32.6,0,0.01,3420,2120,3190,140,180,320,6.5,n.d.,2,5.6
"Tomato, peeled (pelati), canned",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,20,0.2,0,0,0.1,0,3,2.9,0.1,1,0.9,0.3,0,93.8,59,29,0,353,353,0.05,0.03,0.06,0,0.7,11,0.2,13,0,1,240,100,360,16,12,20,0.7,2,0.1,n.d.
"Tomato, raw",Vegetables/Fresh vegetables,per 100g edible portion,21,0.3,0.1,0,0.1,0,3.3,3.2,0,1.2,0.9,0,0,94.1,78,39,0,469,469,0.05,0.02,0.09,0,0.65,18.1,0.06,25.5,0,0.42,240,2.4,30,8.3,8.2,22,0.1,0.6,0.1,0.1
"Tomato, stewed (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,26,0.3,0.1,0,0.1,0,4,3.9,0,1.5,1.1,0,0,93.2,93,46,0,556,556,0.05,0.02,0.1,0,0.68,14.3,0.06,24.5,0,0.55,250,2.7,38,11,9,27,0.2,0.7,0.1,0.1
Tomme cheese,Milk and dairy products/Soft cheese,per 100g edible portion,284,22.5,13.5,5.3,1,68,0,0,0,0,20.3,1.8,0,55,191,183,175,100,100,0.01,0.4,0.18,1.8,0.12,24,0.36,tr.,0.2,0.59,76,720,980,290,18,230,0.1,tr.,1.9,n.d.
